Book Name,Author,Rating,Customers_Rated,Price
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6,3234,16.8
Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8,14836,17.96
Batman/Fortnite: Zero Point,Christos Gage,-1.0,0,15.93
On Juneteenth,Annette Gordon-Reed,-1.0,0,13.95
What to Expect When You're Expecting,Heidi Murkoff,4.8,18296,9.89
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,17623,7.53
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,23382,4.59
The Nightingale: A Novel,Kristin Hannah,4.8,66233,8.18
Grumpy Monkey,Suzanne Lang,4.8,13658,6.97
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7,23329,14.29
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7,18393,8.99
"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,4.9,19273,17.0
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6,14801,9.42
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,14620,9.63
"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",American Psychological Association,4.8,18264,20.59
It Ends with Us: A Novel,Colleen Hoover,4.7,15012,10.59
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired…",Ashley Craft,4.8,6540,11.99
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,16584,13.19
I Love Mom with The Very Hungry Caterpillar (The World of Eric Carle),Eric Carle,4.8,1141,7.05
Get Untamed: The Journal (How to Quit Pleasing and Start Living),Glennon Doyle,-1.0,0,16.99
"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience",Tarana Burke,4.9,13,16.2
"F*ck It, I'll Start Tomorrow",Action Bronson,4.9,80,15.6
Faucian Bargain: The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,4.8,2041,14.45
Diary of an Oxygen Thief (1) (The Oxygen Thief Diaries),Anonymous,4.5,2515,9.6
Promises From God for Women Cards - A Box of Blessings,Christian Art Gifts,4.8,12699,4.99
"1984 (Signet Classics), Book Cover May Vary",George Orwell,4.7,44954,7.48
Potty Training in 3 Days: The Step-by-Step Plan for a Clean Break from Dirty Diapers,Brandi Brucks,4.5,5428,5.8
"Mom, I Want to Hear Your Story: A Mother’s Guided Journal To Share Her Life & Her Love (Hear Your Story Books)",Jeffrey Mason,4.7,5799,8.95
