Book Name,Author,Rating,Customers_Rated,Price
"I Love You, Stinky Face",Lisa McCourt,4.9,5089,3.75
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7,18498,8.99
Great Circle: A novel,Maggie Shipstead,4.4,12,19.84
Man's Search for Meaning,Viktor E. Frankl,4.7,31610,8.39
On Juneteenth,Annette Gordon-Reed,4.2,4,13.95
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6,3316,16.8
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7,54674,8.89
"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",American Psychological Association,4.8,18351,20.59
Goodnight Moon,Margaret Wise Brown,4.9,16811,5.0
We Were Liars,E. Lockhart,4.6,22880,5.99
The Nightingale: A Novel,Kristin Hannah,4.8,66485,8.18
How Stella Learned to Talk: The Groundbreaking Story of the World's First Talking Dog,Christina Hunger,4.7,4,21.97
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired…",Ashley Craft,4.8,6616,11.99
Grumpy Monkey,Suzanne Lang,4.8,13759,6.97
"Out of Many, One: Portraits of America's Immigrants",George W. Bush,4.7,211,22.8
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.7,28710,8.51
It Ends with Us: A Novel,Colleen Hoover,4.7,15223,10.59
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,17683,7.53
Clarity & Connection,Yung Pueblo,4.9,77,14.99
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,23479,4.59
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7,23412,14.29
"You Are Your Best Thing: Vulnerability, Shame Resilience, and the Black Experience",Tarana Burke,4.8,29,18.9
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1.0,0,28.99
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6,15010,9.42
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,14681,9.63
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,16654,13.19
"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising",Leigh Bardugo,4.7,4150,36.29
What to Expect When You're Expecting,Heidi Murkoff,4.8,18389,9.89
